route_id,route_short_name,route_long_name,direction_id,seq,stop_id,station_id,stop_name,lat,lon,km,length_km,cor_metro,cor_metro_ligero,cor_aeropuerto,cor_bus,cor_tren_ld
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,4,70002,70002,Asamblea De Madrid-Entrevías,40.381862,-3.668045,10.595,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,5,70003,70003,El Pozo,40.376038,-3.656141,11.793,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,6,70001,70001,Vallecas,40.381961,-3.624583,14.546,63.377,1,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,7,70109,70109,Santa Eugenia,40.386955,-3.608986,15.979,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,8,70100,70100,Vicálvaro,40.401252,-3.595897,17.917,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,9,70108,70108,Coslada,40.423237,-3.561111,21.745,63.377,7,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,10,70101,70101,San Fernando De Henares,40.442780,-3.533987,24.906,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,11,70102,70102,Torrejón De Ardoz,40.454789,-3.479730,29.687,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,12,70112,70112,Soto Del Henares,40.463964,-3.441408,33.086,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,13,70111,70111,La Garena,40.480545,-3.393006,37.577,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,14,70103,70103,Alcalá De Henares,40.489081,-3.366246,40.031,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,15,70107,70107,Alcalá De Henares-Universidad,40.505430,-3.335326,43.215,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,16,70104,70104,Meco,40.534673,-3.298681,47.706,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,17,70105,70105,Azuqueca,40.561077,-3.265397,51.772,63.377,,,,,
10T0006C2,C2,Chamartín - Clara Campoamor             -Guadalajara,1,18,70200,70200,Guadalajara,40.644193,-3.182260,63.377,63.377,,,,,
