nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc
KM. 309.2 (BELALCÁZAR),"37309","045200080",K,FS,"140749",,"14470",AD,319648.9563,4287167.1535,1,14
CASTUERA,"37402","045200100",T,EX,"060362",,"06420",AD,279066.1068,4290433.07,1,6
CAMPANARIO,"37404","045200100",P,EX,"060286",,"06460",AD,270753.8333,4303901.926,1,6
DON BENITO,"37407","045200110",E,EX,"060444",,"06400",AD,251961.8631,4317011.5346,1,6
VALDETORRES (APD),"37409","045200110",P,EX,"061383",,"06474",AD,233864.9773,4311639.6821,1,6
CANTALAPIEDRA,"32004","011200020",A,EX,"370819",,"37400",AD,316769.7279,4555885.4636,1,37
SALAMANCA,"30100","011200030",E,EX,"372745","Paseo de la estación, 122","37004",AD,277148.8688,4539011.95,1,37
LA ALAMEDILLA (APD),"30110","011200040",P,EX,"372745",,"37003",AD,276479.7247,4538473.6466,1,37
BIF. LA SERNA,B3001,"011200050",B,EX,"372745",,"37008",AD,276435.898,4536741.8177,1,37
TEJARES-CHAMBERI,"33001","011200060",T,EX,"372745",,"37008",AD,273520.553,4537079.9586,1,37
FTE. DE S. ESTEBAN-BOADILLA,"33008","011200070",A,EX,"371358",,"37200",AD,225930.731,4520873.441,1,37
VILAR FORMOSO,"33030","011200110",E,EX,,,,OT,176022.7025,4502098.8903,1,37
PEÑARANDA DE BRACAMONTE,"34010","011220020",A,EX,"372468",,"37300",AD,314144.3625,4529778.3541,1,37
LAS ALCANTARILLAS,"51201","044000300",Y,FS,"410956",,"41710",AD,245577.2672,4108920.0831,1,41
LOS JARALES-BODONAL,"42004","045120010",Y,FS,"060212",,"06394",AD,191068.0359,4233447.8426,1,6
EL CERRO DE ANDEVALO (APD),"42014","045120040",P,EX,"210176",,"21300",AD,156800.66,4180278.4984,1,21
MERIDA MERCANCIAS,"37502","045200120",G,EX,"060830",,"06800",AD,209991.98,4313555.9224,1,6
VITORIA CONTENEDORES,"11218","011000330",Y,FS,"010590",,"01006",AD,527043.6838,4743177.4043,1,1
GAVIRIA,"11401","011000410",Y,FS,"200381",,"20217",AD,558728.0061,4767605.0686,1,20
ZORROTZA-PUERTO,"13306","017200040",A,EX,"480209",,"48013",AD,502517.6922,4792473.7605,1,48
MONTEARAGON,"35109","055000110",T,EX,"451040",,"45685",AD,359369.8931,4424711.7594,1,45
"KM. 2,8",C4003,"140100020",K,EX,"280796",,"28053",AV,442633.2301,4470943.445,1,28
"VALLECAS AV - AGUJA KM.12,300",B6001,"120500010",B,EX,"280796",,"28051",AV,447536.8684,4465491.8986,1,28
COMERCIAL I.S.M.S.A. (CGD),"22319","068120010",G,EX,"360451",,"36800",AD,32383.1727,4695624.5401,1,36
PARLA,"37009","140100035",E,EX,"281065",,"28983",AV,436660.9201,4454003.8727,2,28
LOS GAVILANES,"37013","140100035",O,EX,"280650",,"28906",AV,443197.2541,4461128.2501,2,28
ABLATES,"37101","140100060",E,EX,"450128",,"45420",AV,426889.4686,4407842.1638,1,45
RIU TER,"79319","022700130",T,EX,"170499",,"17460",AD,987948.2258,4670144.1841,5,17
CTT PARLA,"37014","059200055",T,EX,"281132",,"28320",AD,437039.1166,4456734.6654,5,28
AYERBE,"74204","022040020",T,EX,"220396",,"22800",AD,691096.9473,4682972.3223,1,22
JACA,"74213","022040040",E,EX,"221301",,"22700",AD,701999.4049,4716851.144,1,22
CANFRANC,"74217","022040050",T,EX,"220784",,"22880",AD,703429.6438,4736193.1401,1,22
LA POBLA DE SEGUR,"75116","020002062",T,EX,"251713",,"25500",CA,827237.1613,4684029.0055,1,25
LA ZAIDA-SASTAGO,"71108","022100040",T,EX,"502967",,"50784",AD,715364.3796,4577527.4768,1,50
FAIO-LA POBLA DE MASSALUCA,"71208","022100090",T,EX,"431107",,"43783",AD,780889.6822,4569153.479,1,43
FLIX,"71210","022100100",A,EX,"430607",,"43750",AD,796715.1246,4570264.6066,1,43
MORA LA NOVA,"71300","022100110",T,EX,"430944",,"43770",AD,806773.3785,4557014.2696,1,43
REUS,"71400","022100120",E,EX,"431233","Plaza de la estación,s/n","43203",AD,844025.0112,4564683.073,1,43
"AGUJA CLASIF. KM. 100,4.",A7141,"022100135",B,EX,"431482",,"43006",AD,854139.8034,4559656.5701,1,43
TARRAGONA,"71500","022100140",E,EX,"431482","Passeig de Espanya,s/n","43004",AD,857141.3613,4559859.1856,1,43
"CIM AGUJA KM. 0,7",A7081,"022140010",B,FS,"502973",,"50011",AD,671607.6422,4615199.1354,1,50
BIF. PLAZA,B7082,"022140020",B,EX,"502973",,"50197",AD,666983.2212,4611120.9184,1,50
ZARAGOZA-ARRABAL,"78002","020002010",E,EX,"502973",,"50015",AD,677454.8785,4615223.3822,1,50
CERVERA,"78500","022200012",T,EX,"250729",,"25200",AD,855867.3168,4622378.5588,1,25
SANT MIQUEL DE GONTERES (APD),"78610","022200060",P,EX,"083008",,"08232",AD,914756.9778,4613890.2852,1,8
TERRASSA EST (APD),"78710","022200070",P,EX,"082798",,"08227",AD,920237.8094,4614029.0918,1,8
